Abbrv,Full
LLACP,Laughing like a crazy person
TYFA,Thank you for asking
FWB,Friends with benefits
LMHO,Laughing my head off
ALAP,As late as possible
SOOF,Swear on our friendship
rando,Random
BYKTA,But you knew that already
SFW,Safe for work
fit,Outfit
Quarantini,A quarantine-times cocktail
Wuz,What is
SYAL,See you all later
WTHIH,Who the heck is he
OOTL,Out of the loop
FOS,Full of s***
2U2,To you too
BD,Big deal
GBH,Great big hug
GM,Good morning
HAND,Have a nice day
ir8,Irate
MIL,Mother-in-law
SIL,Son-in-law
ttly,Totally
ILU,I love you
mgmt,Management
MTFBWU,May the Force be with you
soz,I'm sorry
tel,Telephone
UR,Your
MF,Mother f***er
MHOTY,My hat's off to you
OM,Old man
kl,Kool
grl,Girl
IMA,I might add
LAL,Laugh a little
wat,What
EOM,End of message
LYA,Love you always
HFC,Holy freaking crap
WAHM,Work-at-home mom
HAGS,Have a great summer
TISU,This is so unfair
mishu,Miss you
BBT,Be back tomorrow
d8,Date
IA,I agree
wtv,Whatever
ea,Each
DWL,Dying with laughter
Biffles,Best friends for life
mmk,OK
SBTM,Should be there momentarily
GMAB,Give me a break
OTS,On the scene
JFI,Just for information
thnq,Thank you
T4LMK,Thanks for letting me know
TCFN,Take care for now
Presh,Precious
Wub,Love
KNP,"OK, no problem"
IHM,I hate Mondays
FF,Friends forever
AWLTP,Avoiding work like the plague
CRD,Caucasian Rhythm Disorder
CYM,Check your mail
IWY,I want you
224,"Today, tomorrow, forever"
LFTI,Looking forward to it
SGTM,Sounds good to me
LLAP,Live long and prosper
TSIR,The struggle is real
HYG,Here you go
T4TU,Thanks for the update
4rl,For real
ITMT,In the meantime
HH,Holding hands
ez,Easy
YT,You there?
PM,Postmeridian
LYSM,Love you so much
kw,Know
TTYW,Talk to you whenever
KMAB,"Kiss my a**, b****"
yupz,OK
I8U,I hate you
CTHU,Cracking the heck up
fn,Fine
awks,Awkward
LML,Laughing mad loud
wuh,What
kms,Kill myself
xan,Xanax
NBD,No big deal
X,Kiss
OMW,On my way
WBU,What 'bout you
BFK,Big fat kiss
TWD,Texting while driving
JOMO,Joy of missing out
OTW,Off to work
NSS,No s*** Sherlock
Dis,This
Ermahgerd,Oh my gosh
POC,Person of color
Sexting,Sending sexually explicit messages
SMH,Smash my head
TTYS,Talk to you soon
CBA,Can't be ar**d
B4N,Bye for now
CYWW2BY,"See ya, wouldn't want to be ya"
DIIK,Darned if I know
DQYDJ,Don't quit your day job
FTMP,For the most part
GI,Good idea
GOWM,Go out with me
IAYF,It's all your fault
IB2D,I beg to differ
IC,In character
KIR,Keepin' it real
KWIM,Know what I mean
ltr,Letter
LYMI,"Love you, mean it"
md@u,Mad at you
nm,Nevermind
NMJC,"Nothing much, just chillin'"
NNITO,Not necessarily in that order
ONNA,"Oh no, not again"
SFB,S*** for brains
SLY,Still love you
STHU,Shut the heck up
TITF,That is too funny
UR,You are
UR2M,You are too much
W2F,Way too funny
w/o,Without
ZZZ,Sleeping
VBS,Very big smile
ATT,All the time
G2P,Got to pee
HHOS,"Ha-ha, only serious"
FF,Freeze frame
PL,Punchline
ITYS,I told you so
WDUMBT,What do you mean by that?
JC,Just checking
Yr,Your
WUWT,What's up with that
HSIK,How should I know
PTM,Please tell me
2morrow,Tomorrow
4,For
da,The
fave,Favorite
KWIS,Know what I'm saying
TM,Trouble maker
ILUM,I love you man
mth,Month
neway,Anyway
tx,Thanks
uraqt,You are a cutie
WUD,What are you doing
POTC,Peck on the cheek
SYT,See you tomorrow
IDTS,I don't think so
HB2U,Happy birthday to you
OO,Over and out
GOL,Giggle out loud
ADN,Any day now
h/w,Homework
SUSFU,"Situation unchanged, still fouled up"
ICBW,I could be wrong
OLTL,One Life to Live
LMWAO,Laughing my white a** off
git,Get over it
KAS,Kicking and screaming
AFAP,As fast as possible
mab,Maybe
cul8r,Call you later
SRO,Standing room only
wht,What
NOIRL,No one is really laughing
wa,What
LRL,Laugh real loud
ROTFLMFAO,Rolling on the floor laughing my f****** a** off
ILYL,I love you lots
YK,You're kidding
ROFLTRABTD,"Rolling on floor laughing, thinking Republicans are better than Democrats"
MU,Miss you
OK,One kiss
FH,Future husband
TM,Tell me
PIO,Pass it on
HTSUS,Hope to see you soon
AFU,All f***ed up
BTCHF,"Bye, take care, have fun"
s,Yes
YGG,You go girl
MFB,Mother F***ing B****
2nt,Tonight
2zda,Tuesday
IRDK,I really don't know
nemore,Anymore
teme,Tell me
ILY2,"I love you, too"
MSB,My sexy b****
TWSS,That's what she said
YKHII,You know how it is
PTO,Pass this on
MMHRD,Many Many Happy Returns of the Day
IW2BWU,I want to be with you
FF,Flying Fadoodle
BBB,Boring beyond belief
CMFWIC,Chief mo fo of who's in charge
ST2M,Stop talking to me
UDFI,You don't fit in
AWT,At what time
WL,Whatta loser
CPE,Coolest Person Ever
HLBD,Happy late birthday
CBF,Can't be bothered
SAT,Sorry about that
BFFN,Best friend for now
siul8r,See you later
h8t,Hate
WWI,What was it
alt,A lot
U2U,Up to you
DLTBBB,Don't let the bedbugs bite
SFF,So freaking funny
NB,Not bad
UOME,You owe me
BTHU,Back the heck up
BAF,Bring a friend
W2G,Way to go
A2T,Addicted to texting
urgr8,You are great
BL,Belly laughing
DLTM,Don't lie to me
RUFR,Are you for real
CUOL,See you online
GGOH,Gotta get out of here
WFM,Works for me
BITMT,But in the meantime
TAC,That ain't cool
HAG1,Have a good one
DYLM,Do you love me
SIM,"Shoot, it's Monday"
AON,As of now
WMB,Write me back
bibi,Bye bye
6y,Sexy
G2R,Got to run
TFLMK,Thanks for letting me know
obvi,Obviously
sitch,Situation
sbux,Starbucks
JLUK,Just letting you know
thru,Through
uno,You know
Urp,Vomit
4get,Forget
KIK,Laughing out loud
NF,Not funny
MMS,Multimedia Messaging Service
gpa,Grandpa
urs4e,Yours forever
KHUF,Know how you feel
pix,Pictures
tho,Though
BYOD,Bring your own device
WDYMBT,What do you mean by that?
GD,Green Day
GW,Good work
A2D,Agree to disagree
TLTR,Too long to read
AISE,As I said earlier
